username,group,temp_pass,tagKey,tagValue
lopo.camacho,RedesAdmin,MeMudar123456!,MATRICULA,00057
luisa.ramirez,RedesAdmin,MeMudar123456!,MATRICULA,00058
mario.briao,RedesAdmin,MeMudar123456!,MATRICULA,00059
melissa.queiroz,RedesAdmin,MeMudar123456!,MATRICULA,00060
mem.regueira,RedesAdmin,MeMudar123456!,MATRICULA,00061
morgana.valgueiro,RedesAdmin,MeMudar123456!,MATRICULA,00062
natalia.terra,RedesAdmin,MeMudar123456!,MATRICULA,00063
nazare.verissimo,RedesAdmin,MeMudar123456!,MATRICULA,00064
noe.betancour,RedesAdmin,MeMudar123456!,MATRICULA,00065
noemia.sarmento,RedesAdmin,MeMudar123456!,MATRICULA,00066
olavo.borges,RedesAdmin,MeMudar123456!,MATRICULA,00067
oliveira.sobral,RedesAdmin,MeMudar123456!,MATRICULA,00068
oriana.viveiros,RedesAdmin,MeMudar123456!,MATRICULA,00069
paraguacu.ipanema,RedesAdmin,MeMudar123456!,MATRICULA,00070
placido.medeiros,RedesAdmin,MeMudar123456!,MATRICULA,00071
porfirio.azenha,RedesAdmin,MeMudar123456!,MATRICULA,00072
potira.ferraco,RedesAdmin,MeMudar123456!,MATRICULA,00073
quiteria.xavier,RedesAdmin,MeMudar123456!,MATRICULA,00074
raquel.paredes,Estagiarios,MeMudar123456!,MATRICULA,00075
ruca.conde,Estagiarios,MeMudar123456!,MATRICULA,00076
salvador.vasquez,Estagiarios,MeMudar123456!,MATRICULA,00077
sancha.pino,Estagiarios,MeMudar123456!,MATRICULA,00078
sandro.alvarenga,Estagiarios,MeMudar123456!,MATRICULA,00079
sebastiana.peres,Estagiarios,MeMudar123456!,MATRICULA,00080
sebastiao.vasconcelos,Estagiarios,MeMudar123456!,MATRICULA,00081
severino.martins,Estagiarios,MeMudar123456!,MATRICULA,00082
sidonio.ramirez,Estagiarios,MeMudar123456!,MATRICULA,00083
simone.velasco,Estagiarios,MeMudar123456!,MATRICULA,00084
socorro.brum,Estagiarios,MeMudar123456!,MATRICULA,00085
sofia.siqueira,Estagiarios,MeMudar123456!,MATRICULA,00086
sonas.modesto,Estagiarios,MeMudar123456!,MATRICULA,00087
sonia.telles,Estagiarios,MeMudar123456!,MATRICULA,00088
teodorico.guilheiro,Estagiarios,MeMudar123456!,MATRICULA,00089
tobias.piraja,Estagiarios,MeMudar123456!,MATRICULA,00090
trajano.santanna,Estagiarios,MeMudar123456!,MATRICULA,00091
ubajara.guerreiro,Estagiarios,MeMudar123456!,MATRICULA,00092
vania.paredes,CloudAdmin,MeMudar123456!,MATRICULA,00093
vera.andrade,Estagiarios,MeMudar123456!,MATRICULA,00094
viriato.albernaz,Estagiarios,MeMudar123456!,MATRICULA,00095
xenia.peres,CloudAdmin,MeMudar123456!,MATRICULA,00096
zelia.ferrao,CloudAdmin,MeMudar123456!,MATRICULA,00097
zidane.espargosa,CloudAdmin,MeMudar123456!,MATRICULA,00098
zilda.pastana,CloudAdmin,MeMudar123456!,MATRICULA,00099
zulmira.paixao,CloudAdmin,MeMudar123456!,MATRICULA,00100
zuriel.losada,CloudAdmin,MeMudar123456!,MATRICULA,00101

